
⚡BJ联通,#genre#
CCTV1[1920x1080],http://114.254.189.28:9999/udp/239.3.1.129:8008
CCTV1[1920x1080],http://111.196.133.132:8012/udp/239.3.1.129:8008
CCTV2[1920x1080],http://111.196.133.132:8012/udp/239.3.1.60:8084
CCTV2[1920x1080],http://114.254.189.28:9999/udp/239.3.1.60:8084
CCTV3[1920x1080],http://111.196.133.132:8012/udp/239.3.1.172:8001
CCTV3[1920x1080],http://114.254.189.28:9999/udp/239.3.1.172:8001
CCTV4[1920x1080],http://111.196.133.132:8012/udp/239.3.1.213:4220
CCTV4[1920x1080],http://111.196.133.132:8012/udp/239.3.1.214:4220
CCTV4[1920x1080],http://114.254.189.28:9999/udp/239.3.1.105:8092
CCTV4[1920x1080],http://114.254.189.28:9999/udp/239.3.1.213:4220
CCTV4[1920x1080],http://111.196.133.132:8012/udp/239.3.1.105:8092
CCTV4[1920x1080],http://114.254.189.28:9999/udp/239.3.1.214:4220
CCTV5[1920x1080],http://111.196.133.132:8012/udp/239.3.1.173:8001
CCTV5+[1920x1080],http://114.254.189.28:9999/udp/239.3.1.130:8004
CCTV5+[1920x1080],http://111.196.133.132:8012/udp/239.3.1.130:8004
CCTV5[1920x1080],http://114.254.189.28:9999/udp/239.3.1.173:8001
CCTV6[1920x1080],http://111.196.133.132:8012/udp/239.3.1.174:8001
CCTV6[1920x1080],http://114.254.189.28:9999/udp/239.3.1.174:8001
CCTV7[1920x1080],http://114.254.189.28:9999/udp/239.3.1.61:8104
CCTV7[1920x1080],http://111.196.133.132:8012/udp/239.3.1.61:8104
CCTV8[1920x1080],http://111.196.133.132:8012/udp/239.3.1.175:8001
CCTV8[1920x1080],http://114.254.189.28:9999/udp/239.3.1.175:8001
CCTV9[1920x1080],http://114.254.189.28:9999/udp/239.3.1.62:8112
CCTV9[1920x1080],http://111.196.133.132:8012/udp/239.3.1.62:8112
CCTV10[1920x1080],http://111.196.133.132:8012/udp/239.3.1.63:8116
CCTV10[1920x1080],http://114.254.189.28:9999/udp/239.3.1.63:8116
CCTV11[1920x1080],http://111.196.133.132:8012/udp/239.3.1.152:8120
CCTV11[1920x1080],http://114.254.189.28:9999/udp/239.3.1.152:8120
CCTV12[1920x1080],http://114.254.189.28:9999/udp/239.3.1.64:8124
CCTV12[1920x1080],http://111.196.133.132:8012/udp/239.3.1.64:8124
CCTV13[1920x1080],http://114.254.189.28:9999/udp/239.3.1.124:8128
CCTV13[1920x1080],http://111.196.133.132:8012/udp/239.3.1.124:8128
CCTV14[1920x1080],http://111.196.133.132:8012/udp/239.3.1.65:8132
CCTV14[1920x1080],http://114.254.189.28:9999/udp/239.3.1.65:8132
CCTV15[1920x1080],http://111.196.133.132:8012/udp/239.3.1.153:8136
CCTV15[1920x1080],http://114.254.189.28:9999/udp/239.3.1.153:8136
CCTV16[1920x1080],http://111.196.133.132:8012/udp/239.3.1.184:8001
CCTV16[1920x1080],http://114.254.189.28:9999/udp/239.3.1.184:8001
CCTV17[1920x1080],http://111.196.133.132:8012/udp/239.3.1.151:8144
CCTV17[1920x1080],http://114.254.189.28:9999/udp/239.3.1.151:8144
CETV1[1920x1080],http://114.254.189.28:9999/udp/239.3.1.57:8152
CETV1[1920x1080],http://111.196.133.132:8012/udp/239.3.1.57:8152
CETV2[768x576],http://114.254.189.28:9999/udp/239.3.1.54:4120
CETV2[768x576],http://111.196.133.132:8012/udp/239.3.1.54:4120
CETV3[768x576],http://114.254.189.28:9999/udp/239.3.1.55:4120
CETV3[768x576],http://111.196.133.132:8012/udp/239.3.1.55:4120
CETV4[785x576],http://111.196.133.132:8012/udp/239.3.1.56:4120
CETV4[785x576],http://114.254.189.28:9999/udp/239.3.1.56:4120
BRTV北京卫视[1920x1080],http://111.196.133.132:8012/udp/239.3.1.241:8000
BRTV北京卫视[1920x1080],http://114.254.189.28:9999/udp/239.3.1.241:8000
三沙卫视[768x576],http://111.196.133.132:8012/udp/239.3.1.155:4120
三沙卫视[768x576],http://114.254.189.28:9999/udp/239.3.1.155:4120
东南卫视[1920x1080],http://111.196.133.132:8012/udp/239.3.1.156:8148
东南卫视[1920x1080],http://114.254.189.28:9999/udp/239.3.1.156:8148
东方卫视[1920x1080],http://111.196.133.132:8012/udp/239.3.1.136:8032
东方卫视[1920x1080],http://114.254.189.28:9999/udp/239.3.1.136:8032
云南卫视[768x576],http://111.196.133.132:8012/udp/239.3.1.26:8108
云南卫视[768x576],http://114.254.189.28:9999/udp/239.3.1.26:8108
兵团卫视[785x576],http://111.196.133.132:8012/udp/239.3.1.144:4120
兵团卫视[785x576],http://114.254.189.28:9999/udp/239.3.1.144:4120
内蒙古卫视[768x576],http://111.196.133.132:8012/udp/239.3.1.43:8176
内蒙古卫视[768x576],http://114.254.189.28:9999/udp/239.3.1.43:8176
厦门卫视[785x576],http://111.196.133.132:8012/udp/239.3.1.143:4120
厦门卫视[785x576],http://114.254.189.28:9999/udp/239.3.1.143:4120
吉林卫视[1920x1080],http://111.196.133.132:8012/udp/239.3.1.240:8172
吉林卫视[1920x1080],http://114.254.189.28:9999/udp/239.3.1.240:8172
四川卫视[768x576],http://111.196.133.132:8012/udp/239.3.1.29:8288
四川卫视[768x576],http://114.254.189.28:9999/udp/239.3.1.29:8288
