央视频道,#genre#
CCTV-1,http://223.110.245.170/PLTV/3/224/3221225530/index.m3u8#http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228104/index.m3u8#http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000311/index.m3u8
CCTV-2,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229095/index.m3u8
CCTV-3,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229098/index.m3u8
CCTV-4,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229283/index.m3u8
CCTV-5,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228819/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv5phd.m3u8
CCTV-5+,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228810/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv5phd.m3u8
CCTV-6,http://223.110.245.170/PLTV/3/224/3221225548/index.m3u8#http://223.110.243.139/PLTV/3/224/3221225548/index.m3u8#http://player.200877926.top/18/tv.php?tv=shydbst&id=cctv6hd#http://125.210.152.18:9090/live/CCTV6HD_H265.m3u8
CCTV-7,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000318/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv7.m3u8
CCTV-8,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229083/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv8hd.m3u8
CCTV-9,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229079/index.m3u8#http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000319/index.m3u8
CCTV-10,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000321/index.m3u8
CCTV-11,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229097/index.m3u8
CCTV-12,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229089/index.m3u8
CCTV-13,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229100/index.m3u8#http://211.136.65.143:80/wh7f454c46tw1474552676_1583974371/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226159/index.m3u8?servicetype=2&icpid=&accounttype=1&limitflux=-1&limitdur=-1&GuardEncType=2&accountinfo=zqLF8NKKMalRDbEO48jdgSqOOpgqV4GIFucTXzTgtUY14SLGemePuzwr0iERpwp3b/3dmFfegp8dLLYa9OiLhJUOVq0LrheNEBOLmmGQDsZo1ExU8QlbqLGfhx/PstzTwAmbfM3Mo6eVM31XGJS5NQ==:20181012131800,54C57AADF598,183.93.146.195,20181012131800,10000100000000050000000001936260,F35103AE12A41F708C374EF84A9DC456,-1,1,1,-1,,7,2201300,17,,4,END&icpid=88888888&RTS=1539321338&from=1&hms_devid=143
CCTV-14,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229157/index.m3u8#http://39.137.76.32:8089/00/SNM/CHANNEL00000014/index.m3u8
CCTV-15,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229103/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv15.m3u8
CCTV-16,http://ott-live.olympicchannel.com/out/u/OC1_1.m3u8
CCTV-17,http://111.40.205.70/PLTV/88888888/224/3221225765/index.m3u8#https://cctvcnch5ca.v.wscdns.com/live/cctv17_2/10793.m3u8
卫视频道,#genre#
浙江卫视,http://yd-m-l.cztv.com/channels/lantian/channel01/360p.m3u8?k=9a3c6262617bb137b19d7ed358f7430c&t=1571581414#http://111.40.205.87/PLTV/88888888/224/3221225612/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225643/index.m3u8
江苏卫视,http://111.40.205.87/PLTV/88888888/224/3221225613/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225644/index.m3u8
湖南卫视,http://111.40.205.87/PLTV/88888888/224/3221225610/index.m3u8
安徽卫视,http://111.40.205.87/PLTV/88888888/224/3221225727/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225631/index.m3u8
广东卫视,http://111.40.205.87/PLTV/88888888/224/3221225699/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225736/index.m3u8 
山东卫视,http://cctvalih5ca.v.myalicdn.com/wstv/shandong_2/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225737/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225650/index.m3u8
湖北卫视,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229107/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225705/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225627/index.m3u8
东方卫视,http://111.40.205.87/PLTV/88888888/224/3221225700/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225735/index.m3u8
北京卫视,http://111.40.205.87/PLTV/88888888/224/3221225701/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225728/index.m3u8
天津卫视,http://111.40.205.87/PLTV/88888888/224/3221225740/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225648/index.m3u8
深圳卫视,http://111.40.205.87/PLTV/88888888/224/3221225739/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225645/index.m3u8 
江西卫视,http://111.40.205.87/PLTV/88888888/224/3221225615/index.m3u8
陕西卫视,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229052/index.m3u8
吉林卫视,http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/jilin_2_hd.m3u8
广西卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000038/index.m3u8#http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/guangxi_2_hd.m3u8
河北卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000330/index.m3u8#http://118.123.60.6:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=015&Provider_id=&Pcontent_id=index.m3u8
西藏卫视,http://player.200877926.top/17/0/hogem3u8.php?tv=xizang&id=8#http://media.vtibet.com/masvod/HLSLive/9/hanyuTV_q1.m3u8#http://cctvalih5ca.v.myalicdn.com/wstv/xizang_2/index.m3u8
黑龙江卫视,http://111.40.205.87/PLTV/88888888/224/3221225640/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225658/index.m3u8
